List of Institutions providing sponsorship,type,Link
PwC,Consultancy,https://www.pwc.ie/
Intercom,Software,https://www.intercom.com/
Ammeon,software,https://www.ammeon.com/
Ryanair,Various,https://www.ryanair.com/gb/en
Ergo,Information Technology,https://www.ergogroup.ie/
Google, Software, https://careers.google.com/locations/dublin/
Travelport Digital,Software,https://digital.travelport.com/
Liberty IT,Information Technology,https://www.liberty-it.ie/
MSD,Pharmaceutical,https://www.msd-ireland.com/
Maxim Integrated,Design,https://www.maximintegrated.com/en/aboutus/careers.html