Skill,link

Computational Creativity,https://www.kadenze.com/programs/generative-art-and-computational-creativity
Creating for mixed reality,https://www.kadenze.com/programs/creating-for-mixed-reality
Challenges in Antibiotic Resistance,https://www.futurelearn.com/courses/gram-negative-bacteria
Justice,https://www.edx.org/course/justice-2
Unlocking your employability,https://www.edx.org/course/unlocking-your-employability
Learn to code free,https://www.codecademy.com/
Spark fundamentals,https://cognitiveclass.ai/learn/spark
Aws Architect,https://aws.amazon.com/training/path-architecting/
Essentials for chemistry,https://www.open.edu.au/subjects/latrobe-university-essentials-of-chemistry-ltu-chm101